ortho,phon,cgram
a,a,NOM
a,a,AUX
a,a,VER
a capella,akapEla,ADV
a cappella,akapEla,ADV
a contrario,ak§tRaRjo,ADV
a fortiori,afORsjoRi,ADV
a giorno,adZjORno,ADV
a jeun,aZ1,ADV
a l'instar,al5staR,PRE
a posteriori,apOsteRjoRi,ADV
a priori,apRijoRi,ADV
a priori,apRijoRi,NOM
aa,aa,NOM
ab absurdo,abapsuRdo,ADV
ab initio,abinisjo,ADV
ab ovo,abovo,ADV
abaca,abaka,NOM
abaissa,abEsa,VER
abaissai,abEsE,VER
abaissaient,abEsE,VER
abaissait,abEsE,VER
abaissant,abEs@,ADJ
abaissant,abEs@,VER
abaissante,abEs@t,ADJ
abaisse,abEs,NOM
abaisse,abEs,VER
abaisse-langue,abEsl@g,NOM
abaissement,abEs°m@,NOM
abaissent,abEs,VER
abaisser,abese,VER
abaissera,abEs°Ra,VER
abaisserai,abEs°RE,VER
abaisseraient,abEs°RE,VER
abaisserais,abEs°RE,VER
abaisserait,abEs°RE,VER
abaisses,abEs,VER
abaissez,abEse,VER
abaissons,abEs§,VER
abaissèrent,abEsER,VER
abaissé,abese,VER
abaissé,abese,ADJ
abaissée,abese,VER
abaissée,abese,ADJ
abaissées,abese,VER
abaissées,abese,ADJ
abaissés,abese,VER
abaissés,abese,ADJ
abalone,abalOn,NOM
abalones,abalOn,NOM
abandon,ab@d§,NOM
abandonna,ab@dona,VER
abandonnai,ab@donE,VER
abandonnaient,ab@donE,VER
abandonnais,ab@donE,VER
abandonnait,ab@donE,VER
abandonnant,ab@don@,VER
abandonnas,ab@dona,VER
abandonne,ab@dOn,VER
abandonnent,ab@dOn,VER
abandonner,ab@done,VER
abandonnera,ab@dOn°Ra,VER
abandonnerai,ab@dOn°RE,VER
abandonneraient,ab@dOn°RE,VER
abandonnerais,ab@dOn°RE,VER
abandonnerait,ab@dOn°RE,VER
abandonneras,ab@dOn°Ra,VER
abandonnerez,ab@dOn°Re,VER
abandonneriez,ab@dOn°Rje,VER
abandonnerions,ab@dOn°Rj§,VER
abandonnerons,ab@dOn°R§,VER
abandonneront,ab@dOn°R§,VER
abandonnes,ab@dOn,VER
abandonneurs,ab@don9R,NOM
abandonnez,ab@done,VER
abandonniez,ab@donje,VER
abandonnions,ab@donj§,VER
abandonnique,ab@donik,ADJ
abandonnons,ab@don§,VER
abandonnâmes,ab@donam,VER
abandonnât,ab@dona,VER
abandonnèrent,ab@donER,VER
abandonné,ab@done,VER
abandonné,ab@done,ADJ
abandonnée,ab@done,VER
abandonnée,ab@done,ADJ
abandonnées,ab@done,VER
abandonnées,ab@done,ADJ
abandonnés,ab@done,VER
abandonnés,ab@done,ADJ
abandons,ab@d§,NOM
abaque,abak,NOM
abasourdi,abazuRdi,ADJ
abasourdi,abazuRdi,VER
abasourdie,abazuRdi,ADJ
abasourdie,abazuRdi,VER
abasourdir,abazuRdiR,VER
abasourdis,abazuRdi,ADJ
abasourdis,abazuRdi,VER
abasourdissant,abazuRdis@,ADJ
abasourdissants,abazuRdis@,ADJ
abat,aba,NOM
abat,aba,VER
abat-jour,abaZuR,NOM
abat-son,abas§,NOM
abatage,abataZ,NOM
abatis,abati,NOM
abats,aba,NOM
abats,aba,VER
abattage,abataZ,NOM
abattages,abataZ,NOM
abattaient,abatE,VER
abattais,abatE,VER
abattait,abatE,VER
abattant,abat@,NOM
abattant,abat@,VER
abattants,abat@,NOM
abatte,abat,VER
abattement,abat°m@,NOM
abattements,abat°m@,NOM
abattent,abat,VER
abattes,abat,VER
abatteur,abat9R,NOM
abatteurs,abat9R,NOM
abattez,abate,VER
abattiez,abatje,VER
abattions,abatj§,VER
abattirent,abatiR,VER
abattis,abati,NOM
abattis,abati,VER
abattit,abati,VER
abattoir,abatwaR,NOM
abattoirs,abatwaR,NOM
abattons,abat§,VER
abattra,abatRa,VER
abattrai,abatRE,VER
abattraient,abatRE,VER
abattrais,abatRE,VER
abattrait,abatRE,VER
abattras,abatRa,VER
abattre,abatR,VER
abattrez,abatRe,VER
abattriez,abatRie,VER
abattrons,abatR§,VER
abattront,abatR§,VER
abattu,abaty,VER
abattu,abaty,ADJ
abattu,abaty,NOM
abattue,abaty,VER
abattue,abaty,ADJ
abattues,abaty,VER
abattues,abaty,ADJ
abattures,abatyR,NOM
abattus,abaty,VER
abattus,abaty,ADJ
abattus,abaty,NOM
abbatial,abasjal,ADJ
abbatiale,abasjal,ADJ
abbatiale,abasjal,NOM
abbatiales,abasjal,ADJ
abbaye,abei,NOM
abbayes,abei,NOM
abbesse,abEs,NOM
abbesses,abEs,NOM
abbé,abe,NOM
abbés,abe,NOM
abc,abese,NOM
abcès,apsE,NOM
abdication,abdikasj§,NOM
abdications,abdikasj§,NOM
abdiqua,abdika,VER
abdiquai,abdikE,VER
abdiquaient,abdikE,VER
abdiquais,abdikE,VER
abdiquait,abdikE,VER
abdiquant,abdik@,VER
abdique,abdik,VER
abdiquer,abdike,VER
abdiquera,abdik°Ra,VER
abdiquerais,abdik°RE,VER
abdiquerait,abdik°RE,VER
abdiquez,abdike,VER
abdiqué,abdike,VER
abdiquée,abdike,VER
abdomen,abdomEn,NOM
abdominal,abdominal,ADJ
abdominale,abdominal,ADJ
abdominales,abdominal,ADJ
abdominaux,abdomino,ADJ
abdominaux,abdomino,NOM
abdos,abdo,NOM
abducteur,abdykt9R,ADJ
abduction,abdyksj§,NOM
abeille,abEj,NOM
abeilles,abEj,NOM
aber,abe,NOM
aberrant,abER@,ADJ
aberrant,abER@,VER
aberrante,abER@t,ADJ
aberrantes,abER@t,ADJ
aberrants,abER@,ADJ
aberration,abERasj§,NOM
aberrations,abERasj§,NOM
abhorrais,abORE,VER
abhorrait,abORE,VER
abhorrant,abOR@,VER
abhorre,abOR,VER
abhorrer,abORe,VER
abhorrez,abORe,VER
abhorré,abORe,VER
abhorré,abORe,ADJ
abhorrée,abORe,VER
abhorrée,abORe,ADJ
abhorrés,abORe,VER
abject,abZEkt,ADJ
abjecte,abZEkt,ADJ
abjectement,abZEkt°m@,ADV
abjectes,abZEkt,ADJ
abjection,abZEksj§,NOM
abjections,abZEksj§,NOM
abjects,abZEkt,ADJ
abjurant,abZyR@,VER
abjuration,abZyRasj§,NOM
abjurations,abZyRasj§,NOM
abjure,abZyR,VER
abjurer,abZyRe,VER
abjurez,abZyRe,VER
abjurons,abZyR§,VER
abjuré,abZyRe,VER
abkhaze,abkaz,ADJ
ablatif,ablatif,NOM
ablation,ablasj§,NOM
ablations,ablasj§,NOM
able,abl,NOM
ablette,ablEt,NOM
ablettes,ablEt,NOM
ablution,ablysj§,NOM
ablutions,ablysj§,NOM
abnégation,abnegasj§,NOM
aboi,abwa,NOM
aboie,abwa,VER
aboiement,abwam@,NOM
aboiements,abwam@,NOM
aboient,abwa,VER
aboiera,abwaRa,VER
aboierait,abwaRE,VER
aboieront,abwaR§,VER
aboies,abwa,VER
abois,abwa,NOM
aboli,aboli,ADJ
aboli,aboli,VER
abolie,aboli,ADJ
abolie,aboli,VER
abolies,aboli,ADJ
abolies,aboli,VER
abolir,aboliR,VER
abolira,aboliRa,VER
abolirait,aboliRE,VER
aboliras,aboliRa,VER
abolis,aboli,ADJ
abolis,aboli,VER
abolissaient,abolisE,VER
abolissais,abolisE,VER
abolissait,abolisE,VER
abolissant,abolis@,VER
abolissent,abolis,VER
abolissions,abolisj§,VER
abolissons,abolis§,VER
abolit,aboli,VER
abolition,abolisj§,NOM
abolitionniste,abolisjonist,ADJ
abolitionniste,abolisjonist,NOM
abolitionnistes,abolisjonist,ADJ
abolitionnistes,abolisjonist,NOM
abominable,abominabl,ADJ
abominablement,abominabl°m@,ADV
abominables,abominabl,ADJ
abominaient,abominE,VER
abomination,abominasj§,NOM
abominations,abominasj§,NOM
abomine,abomin,VER
abominer,abomine,VER
abonda,ab§da,VER
abondai,ab§dE,VER
abondaient,ab§dE,VER
abondais,ab§dE,VER
abondait,ab§dE,VER
abondamment,ab§dam@,ADV
abondance,ab§d@s,NOM
abondant,ab§d@,ADJ
abondant,ab§d@,VER
abondante,ab§d@t,ADJ
abondantes,ab§d@t,ADJ
abondants,ab§d@,ADJ
abondassent,ab§das,VER
abonde,ab§d,VER
abondent,ab§d,VER
abonder,ab§de,VER
abondé,ab§de,VER
abonnai,abonE,VER
abonnant,abOn@,VER
abonne,abOn,VER
abonnement,abOn°m@,NOM
abonnements,abOn°m@,NOM
abonner,abone,VER
abonnez,abone,VER
abonnât,abona,VER
abonné,abone,VER
abonné,abone,ADJ
abonné,abone,NOM
abonnée,abone,VER
abonnée,abone,ADJ
abonnée,abone,NOM
abonnées,abone,VER
abonnées,abone,NOM
abonnés,abone,VER
abonnés,abone,ADJ
abonnés,abone,NOM
abord,abOR,NOM
aborda,abORda,VER
abordable,abORdabl,ADJ
abordables,abORdabl,ADJ
abordage,abORdaZ,NOM
abordages,abORdaZ,NOM
abordai,abORdE,VER
abordaient,abORdE,VER
abordais,abORdE,VER
abordait,abORdE,VER
abordant,abORd@,VER
aborde,abORd,VER
abordent,abORd,VER
aborder,abORde,VER
abordera,abORd°Ra,VER
aborderai,abORd°RE,VER
aborderaient,abORd°RE,VER
aborderais,abORd°RE,VER
aborderait,abORd°RE,VER
aborderiez,abORd°Rje,VER
