orthosyll,syll,ortho_before,ortho_after,nb_usage
los,lo,au,"",1
pé,pe,re,rez,1
pra,pRa,dé,vons,1
char,SaR,"",mait,1
glons,gl§,ré,"",1
ti,ti,quo,té,1
li,li,il,ci,1
ni,ni,"",treux,1
ni,ni,bé,rait,1
cris,kRis,sa,tains,1
quée,ke,tra,"",5
quins,k5,co,"",2
naps,nap,ha,"",1
traî,tRE,en,nées,2
nants,n@,lon,"",3
veurs,v9R,ri,"",1
beur,b9R,tom,"",1
ploie,lwa,em,riez,1
tons,t§,mec,"",1
meurs,m9R,cri,"",1
nouer,nwe,dé,"",1
gé,Ze,na,"",5
gua,ga,tri,"",1
ries,Ri,"",ling,1
çon,so,tron,nées,1
du,dy,"",pant,1
co,ko,dé,deurs,1
co,ko,dé,lo,18
blaient,blE,trem,"",1
re,R°,vi,rait,2
cor,kOR,es,te,7
çon,so,sar,née,2
ro,Ro,neu,toxi,2
te,t°,cu,ries,2
fi,fi,"",lons,2
nap,na,kid,piez,1
na,na,ba,li,9
fir,fiR,con,mant,1
toyè,twa,pi,rent,1
tiers,tje,en,"",2
fo,sfo,ex,liée,1
ris,Ri,ché,sons,1
ta,ta,ma,dors,1
ti,ti,les,niens,2
gram,gRa,pro,més,3
bif,bi,re,fé,1
li,li,sa,vait,1
glai,glE,pin,"",1
en,@,"",nuie,12
sco,ko,pi,pal,1
que,k°,ris,rions,1
i,i,"",riez,1
saient,sE,pas,"",6
co,ko,é,piez,1
queur,k9R,pi,"",2
lect,lEkt,se,"",1
frei,fRE,en,gnaient,1
sa,sa,mas,"",3
mée,me,fer,"",9
les,jal,loya,"",1
ten,t@,pré,du,3
fouil,fu,ca,lant,1
le,l°,nia,ment,1
per,pe,lam,"",1
lait,jE,vail,"",2
tions,tj§,sen,"",6
gne,N°,pa,rais,2
nais,nE,çon,"",2
cen,s@,des,drais,3
ri,Ri,té,sés,2
feuil,f9,"",lues,1
heur,9R,"",ter,1
te,t°,cen,ra,1
can,k@,mi,"",1
rhé,Re,"",teur,1
ré,Re,"",si,62
pho,fo,lé,nez,1
ter,te,nu,"",1
fla,fla,souf,"",2
pa,pa,"",lis,5
ver,vE,re,ras,1
siez,sje,tas,"",1
for,fOR,in,ma,19
tal,ta,ins,lant,2
liers,lje,da,"",1
te,t°,"",nir,1
traî,tRe,"",nées,3
saient,sE,glous,"",1
cham,S@,"",brant,1
paît,pE,re,"",1
pre,pR°,com,nons,1
con,ko,in,nues,2
té,te,quié,"",1
ter,tER,in,jec,2
do,do,o,rant,2
lés,le,gu,"",3
voirs,vwaR,a,"",1
ta,ta,por,teurs,3
seg,sEg,"",ments,1
toues,tu,"","",1
niée,nje,mu,"",1
gno,No,i,rés,2
man,m@,pri,dée,1
culs,kyl,re,"",1
cel,se,"",lé,1
re,R°,do,raient,1
ta,ta,fu,ble,1
lés,le,te,"",10
en,@,"",gra,2
sez,se,fes,"",1
tra,tRa,"",cés,2
tues,ty,si,"",1
dé,de,"",to,10
ta,ta,né,rium,1
es,Es,"",cla,4
